path,license,author,url
client/textures/illarion/ui/mark_magic-*.png,CC0,Cethiel,https://opengameart.org/content/weapon-slash-effect
client/textures/illarion/ui/mark_use.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/menu_book.png,CC0,yd,https://opengameart.org/content/fantasy-book
client/textures/illarion/ui/menu_close.png,CC0,BlayTheNinth; cron; Nia Mi,https://seleneworlds.com/; https://opengameart.org/content/old-parchment-paper; https://opengameart.org/content/medieval-wax-stamp-letters
client/textures/illarion/ui/menu_long.png,CC0,Chad Wolfe,https://opengameart.org/content/scroll-ui-container
client/textures/illarion/ui/menu_select.png,CC0,BlayTheNinth,https://seleneworlds.com/
client/textures/illarion/ui/menu_short.png,CC0,Chad Wolfe,https://opengameart.org/content/scroll-ui-container
client/textures/illarion/ui/rune_d*.png,CC0,7Soul1,https://www.deviantart.com/7soul1/art/129892453
client/textures/illarion/ui/rune_m*.png,CC0,mistergrey,https://opengameart.org/content/stone-tablet-shards
client/textures/illarion/ui/rune_n*.png,CC0,Jetrel,https://opengameart.org/node/4531
client/textures/illarion/ui/rune_p*.png,CC0,Jetrel,https://opengameart.org/node/4531
client/textures/illarion/ui/select_char.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/select_map.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/showcase_back.png,CC0,BlayTheNinth; PINKCANNON,https://seleneworlds.com; https://opengameart.org/content/game-wood-panel
client/textures/illarion/ui/skill_scale.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/snowflake.png,CC0,qubodup,https://opengameart.org/content/object-icons-approx-20px
client/textures/illarion/ui/speak_normal.png,CC0,BlayTheNinth; cron; qubodup,https://seleneworlds.com; https://opengameart.org/content/old-parchment-paper; https://opengameart.org/content/forum-controls
client/textures/illarion/ui/speak_ooc.png,CC0,BlayTheNinth; cron,https://seleneworlds.com; https://opengameart.org/content/old-parchment-paper
client/textures/illarion/ui/speak_shout.png,CC0,BlayTheNinth; cron,https://seleneworlds.com; https://opengameart.org/content/old-parchment-paper
client/textures/illarion/ui/speak_whisper.png,CC0,BlayTheNinth; cron,https://seleneworlds.com; https://opengameart.org/content/old-parchment-paper
client/textures/illarion/ui/spellbook_close.png,CC0,BlayTheNinth; GIMP,https://seleneworlds.com; https://www.gimp.org
client/textures/illarion/ui/spellbook_store.png,CC0,cat5isalive,https://opengameart.org/content/feather
client/textures/illarion/ui/status_food.png,CC0,Mumu,https://opengameart.org/content/health-or-mana-ui-bars
client/textures/illarion/ui/status_health.png,CC0,Mumu,https://opengameart.org/content/health-or-mana-ui-bars
client/textures/illarion/ui/status_mana.png,CC0,Mumu,https://opengameart.org/content/health-or-mana-ui-bars
models/aggressive_mobs/dragon.blend,CC0,Mesh2Motion,https://app.mesh2motion.org
models/aggressive_mobs/fallen.blend,CC0,Mesh2Motion; Lucian Pavel,https://app.mesh2motion.org; https://opengameart.org/content/mobile-ready-zombie
models/aggressive_mobs/ice_dragon.blend,CC0,Mesh2Motion,https://app.mesh2motion.org
models/aggressive_mobs/panther.blend,CC0,BlayTheNinth; Micket,https://seleneworlds.com; https://opengameart.org/content/tiger
models/aggressive_mobs/red_skeleton.blend,CC0,BlayTheNinth; Gord Goodwin,https://seleneworlds.com; https://opengameart.org/content/skeleton-with-rig
models/aggressive_mobs/scorpion.blend,CC0,CDmir,https://opengameart.org/content/alien-bug-animated
models/aggressive_mobs/skeleton.blend,CC0,Gord Goodwin,https://opengameart.org/content/skeleton-with-rig
models/aggressive_mobs/spider.blend,CC0,Mesh2Motion,https://app.mesh2motion.org
models/aggressive_mobs/wasp.blend,CC0,Gary Monsey; MikeMoon,https://opengameart.org/content/modified-wasp; https://opengameart.org/content/3d-hornetwasp
models/aggressive_mobs/wolf.blend,CC0,Mesh2Motion; NewDLC,https://app.mesh2motion.org; https://opengameart.org/content/3d-wolf
